obj_id,subj,trial,syll,series,raw_f0,condition,unique,demeaned_f0
109_14,109,14,9~,79,100.14999808699974,dn,105_08_8,-5.93745530670374
109_14,109,14,mwa,80,101.74269894254553,dn,105_08_9,-4.344754451157954
109_14,109,14,mwa,81,104.54855920904393,dn,105_08_9,-1.5388941846595543
109_14,109,14,mwa,82,106.22697461667474,dn,105_08_9,0.13952122297125413
109_14,109,14,mwa,83,107.0311694065421,dn,105_08_9,0.943716012838621
109_14,109,14,mwa,84,107.76404783208348,dn,105_08_9,1.6765944383799933
109_14,109,14,mwa,85,108.48423633042569,dn,105_08_9,2.3967829367222038
109_14,109,14,mwa,86,108.8206479257927,dn,105_08_9,2.7331945320892146
109_14,109,14,mwa,87,108.63645977138437,dn,105_08_9,2.5490063776808825
109_14,109,14,mwa,88,108.24899382590604,dn,105_08_9,2.161540432202557
109_14,109,14,mwa,89,108.42136377442509,dn,105_08_9,2.333910380721605
109_17,109,17,nO,0,100.64143518476294,negob,105_08_1,-5.446018208940544
109_17,109,17,nO,1,101.51496417653493,negob,105_08_1,-4.5724892171685525
109_17,109,17,nO,2,102.84659657978949,negob,105_08_1,-3.240856813913993
109_17,109,17,nO,3,104.2959996900883,negob,105_08_1,-1.7914537036151899
109_17,109,17,nO,4,105.83343867740349,negob,105_08_1,-0.2540147162999915
109_17,109,17,nO,5,107.39414823265108,negob,105_08_1,1.3066948389475925
109_17,109,17,nO,6,109.03287551665832,negob,105_08_1,2.945422122954838
109_17,109,17,nO,7,111.0090790726497,negob,105_08_1,4.921625678946214
109_17,109,17,nO,8,113.55718484631807,negob,105_08_1,7.469731452614582
109_17,109,17,nO,9,116.68655594643754,negob,105_08_1,10.599102552734053
109_17,109,17,El,10,119.98117906932339,negob,105_08_2,13.893725675619905
109_17,109,17,El,11,122.61171487028943,negob,105_08_2,16.52426147658595
109_17,109,17,El,12,124.66348761012877,negob,105_08_2,18.576034216425285
109_17,109,17,El,13,126.02962726806426,negob,105_08_2,19.942173874360776
109_17,109,17,El,14,126.73314025074826,negob,105_08_2,20.64568685704478
109_17,109,17,El,15,126.87749577240058,negob,105_08_2,20.790042378697095
109_17,109,17,El,16,126.45589615396031,negob,105_08_2,20.368442760256826
109_17,109,17,El,17,125.47182232328728,negob,105_08_2,19.3843689295838
109_17,109,17,El,18,123.91674754570266,negob,105_08_2,17.82929415199918
109_17,109,17,El,19,121.93330763716396,negob,105_08_2,15.84585424346048
109_17,109,17,nEm,30,119.7844174392657,negob,105_08_4,13.696964045562211
109_17,109,17,nEm,31,116.45722524121312,negob,105_08_4,10.36977184750964
109_17,109,17,nEm,32,114.09879888411952,negob,105_08_4,8.011345490416033
109_17,109,17,nEm,33,111.4938141250301,negob,105_08_4,5.406360731326615
109_17,109,17,nEm,34,107.86228783943733,negob,105_08_4,1.7748344457338447
109_17,109,17,nEm,35,104.36375279188492,negob,105_08_4,-1.7237006018185639
109_17,109,17,nEm,36,102.14789251660393,negob,105_08_4,-3.9395608770995523
109_17,109,17,nEm,37,101.08458369719051,negob,105_08_4,-5.002869696512974
109_17,109,17,nEm,38,100.45019417896671,negob,105_08_4,-5.637259214736773
109_17,109,17,nEm,39,99.85115003166257,negob,105_08_4,-6.236303362040914
109_17,109,17,Rje~,40,98.56835719680939,negob,105_08_5,-7.519096196894097
109_17,109,17,Rje~,41,95.10498914113057,negob,105_08_5,-10.98246425257291
109_17,109,17,Rje~,42,94.8921569986932,negob,105_08_5,-11.195296395010288
109_17,109,17,Rje~,43,98.07352299303322,negob,105_08_5,-8.013930400670262
109_17,109,17,Rje~,44,100.33918968084855,negob,105_08_5,-5.748263712854936
109_17,109,17,Rje~,45,101.9570928577954,negob,105_08_5,-4.130360535908082
109_17,109,17,Rje~,46,103.64738898085915,negob,105_08_5,-2.440064412844336
109_17,109,17,Rje~,47,104.25632672797576,negob,105_08_5,-1.831126665727723
109_17,109,17,Rje~,48,103.67428498995474,negob,105_08_5,-2.4131684037487418
109_17,109,17,Rje~,49,102.14084215430712,negob,105_08_5,-3.9466112393963613
109_17,109,17,a~,50,98.14609339038228,negob,105_08_6,-7.941360003321208
109_17,109,17,a~,51,96.95786495789585,negob,105_08_6,-9.129588435807634
109_17,109,17,a~,52,95.60976095281579,negob,105_08_6,-10.477692440887694
109_17,109,17,a~,53,94.57957397246305,negob,105_08_6,-11.507879421240432
109_17,109,17,a~,54,94.69851713018078,negob,105_08_6,-11.388936263522709
109_17,109,17,a~,55,97.15122405533434,negob,105_08_6,-8.936229338369145
109_17,109,17,a~,56,105.20764182968523,negob,105_08_6,-0.8798115640182544
109_17,109,17,a~,57,120.68704702103123,negob,105_08_6,14.59959362732775
109_17,109,17,a~,58,143.78381532221493,negob,105_08_6,37.69636192851145
109_17,109,17,a~,59,174.22017908478273,negob,105_08_6,68.13272569107924
109_17,109,17,s@,60,211.24622731898523,negob,105_08_7,105.15877392528175
109_17,109,17,s@,61,318.1158893709825,negob,105_08_7,212.028435977279
109_17,109,17,s@,62,412.70478996021853,negob,105_08_7,306.61733656651506
109_17,109,17,s@,63,452.4573114567505,negob,105_08_7,346.36985806304705
109_17,109,17,s@,64,426.2812716833304,negob,105_08_7,320.1938182896269
109_17,109,17,s@,65,362.7355862393738,negob,105_08_7,256.6481328456703
109_17,109,17,s@,66,290.89760467898225,negob,105_08_7,184.81015128527878
109_17,109,17,s@,67,219.0914300366258,negob,105_08_7,113.00397664292232
109_17,109,17,s@,68,153.63963802858183,negob,105_08_7,47.552184634878344
109_17,109,17,s@,69,109.47704508605302,negob,105_08_7,3.3895916923495406
109_17,109,17,mO,70,93.18755726545419,negob,105_08_8,-12.899896128249296
109_17,109,17,mO,71,92.10131701363254,negob,105_08_8,-13.986136380070946
109_17,109,17,mO,72,91.30626526650342,negob,105_08_8,-14.781188127200068
109_17,109,17,mO,73,91.09359052875931,negob,105_08_8,-14.993862864944177
109_17,109,17,mO,74,90.8691370236352,negob,105_08_8,-15.21831637006828
109_17,109,17,mO,75,90.63879413482111,negob,105_08_8,-15.448659258882373
109_17,109,17,mO,76,90.36672724888847,negob,105_08_8,-15.720726144815018
109_17,109,17,mO,77,90.0732346239359,negob,105_08_8,-16.01421876976758
109_17,109,17,mO,78,89.73689052094348,negob,105_08_8,-16.35056287276001
109_17,109,17,mO,79,89.37415299299988,negob,105_08_8,-16.713300400703602
109_17,109,17,ma~,80,88.9982187525807,negob,105_08_9,-17.089234641122786
109_17,109,17,ma~,81,88.43931134679536,negob,105_08_9,-17.64814204690812
109_17,109,17,ma~,82,87.87846257417468,negob,105_08_9,-18.208990819528807
109_17,109,17,ma~,83,87.33730883565461,negob,105_08_9,-18.750144558048873
109_17,109,17,ma~,84,86.83034490596945,negob,105_08_9,-19.25710848773403
109_17,109,17,ma~,85,86.36492393365184,negob,105_08_9,-19.722529460051646
109_17,109,17,ma~,86,86.01366386552968,negob,105_08_9,-20.073789528173805
109_17,109,17,ma~,87,85.72640868612869,negob,105_08_9,-20.36104470757479
109_17,109,17,ma~,88,85.58376146978122,negob,105_08_9,-20.50369192392226
109_17,109,17,ma~,89,85.74246589586247,negob,105_08_9,-20.344987497841018
109_10,109,10,pER,0,130.12517553772216,dn,105_08_1,24.037722144018673
109_10,109,10,pER,1,130.03456465372463,dn,105_08_1,23.947111260021146
109_10,109,10,pER,2,129.81702620129866,dn,105_08_1,23.729572807595176
109_10,109,10,pER,3,129.49685626326493,dn,105_08_1,23.409402869561447
109_10,109,10,pER,4,129.10070568775546,dn,105_08_1,23.01325229405198
109_10,109,10,pER,5,128.7311413841042,dn,105_08_1,22.64368799040072
109_10,109,10,pER,6,128.52286542626933,dn,105_08_1,22.43541203256585
109_10,109,10,pER,7,128.55586672956247,dn,105_08_1,22.468413335858983
109_10,109,10,pER,8,128.81284031324165,dn,105_08_1,22.725386919538167
109_10,109,10,pER,9,129.28388285910253,dn,105_08_1,23.19642946539905
109_10,109,10,sOn,10,130.00913481522448,dn,105_08_2,23.921681421521
109_10,109,10,sOn,11,131.6139013102231,dn,105_08_2,25.526447916519615
109_10,109,10,sOn,12,133.27509351445178,dn,105_08_2,27.1876401207483
109_10,109,10,sOn,13,134.94352393655788,dn,105_08_2,28.856070542854397
109_10,109,10,sOn,14,136.41626859009114,dn,105_08_2,30.32881519638765
109_10,109,10,sOn,15,136.1386789435999,dn,105_08_2,30.051225549896415
109_10,109,10,sOn,16,132.0937798427092,dn,105_08_2,26.006326449005726
109_10,109,10,sOn,17,125.629193795486,dn,105_08_2,19.54174040178252
109_10,109,10,sOn,18,119.25637131060233,dn,105_08_2,13.168917916898849
109_10,109,10,sOn,19,114.30503881113597,dn,105_08_2,8.217585417432488
109_10,109,10,n@,20,110.9429724607255,dn,105_08_3,4.855519067022016
109_10,109,10,n@,21,110.21915982431295,dn,105_08_3,4.131706430609469
109_10,109,10,n@,22,109.60870238884476,dn,105_08_3,3.5212489951412778
109_10,109,10,n@,23,108.98541807842192,dn,105_08_3,2.8979646847184313
109_10,109,10,n@,24,108.19995696374524,dn,105_08_3,2.1125035700417527
109_10,109,10,n@,25,107.14043744308437,dn,105_08_3,1.052984049380882
109_10,109,10,n@,26,105.81166445188975,dn,105_08_3,-0.2757889418137296
109_10,109,10,n@,27,103.99997759011795,dn,105_08_3,-2.0874758035855336
109_10,109,10,n@,28,101.87629766699689,dn,105_08_3,-4.211155726706593
109_10,109,10,n@,29,99.53318347003052,dn,105_08_3,-6.554269923672962
109_10,109,10,bwa,30,95.21801630206534,dn,105_08_4,-10.869437091638147
109_10,109,10,bwa,31,92.52058258245293,dn,105_08_4,-13.566870811250553
109_10,109,10,bwa,32,91.15228764650337,dn,105_08_4,-14.935165747200116
109_10,109,10,bwa,33,92.02445249563189,dn,105_08_4,-14.063000898071593
109_10,109,10,bwa,34,95.15930207065196,dn,105_08_4,-10.928151323051523
109_10,109,10,bwa,35,98.30689640669767,dn,105_08_4,-7.780556987005809
109_10,109,10,bwa,36,99.1526354046616,dn,105_08_4,-6.934817989041889
109_10,109,10,bwa,37,97.50018245017478,dn,105_08_4,-8.587270943528708
109_10,109,10,bwa,38,94.33196703870762,dn,105_08_4,-11.755486354995867
109_10,109,10,bwa,39,91.46983702700626,dn,105_08_4,-14.61761636669722
109_10,109,10,Rje~,40,90.49323720578839,dn,105_08_5,-15.594216187915094
109_10,109,10,Rje~,41,92.08701467872311,dn,105_08_5,-14.000438714980376
109_10,109,10,Rje~,42,94.30397887518022,dn,105_08_5,-11.783474518523263
109_10,109,10,Rje~,43,96.13025518248774,dn,105_08_5,-9.95719821121574
109_10,109,10,Rje~,44,99.26428652285182,dn,105_08_5,-6.823166870851665
109_10,109,10,Rje~,45,105.10708971563926,dn,105_08_5,-0.9803636780642222
109_10,109,10,Rje~,46,108.13917021313806,dn,105_08_5,2.0517168194345743
109_10,109,10,Rje~,47,105.7498134371266,dn,105_08_5,-0.3376399565768793
109_10,109,10,Rje~,48,98.59769952639937,dn,105_08_5,-7.489753867304117
109_10,109,10,Rje~,49,92.95339481277801,dn,105_08_5,-13.134058580925469
109_10,109,10,da~,50,90.96827465669423,dn,105_08_6,-15.11917873700925
109_10,109,10,da~,51,90.8826681957302,dn,105_08_6,-15.20478519797328
109_10,109,10,da~,52,90.79724536220313,dn,105_08_6,-15.290208031500356
109_10,109,10,da~,53,90.68508931823769,dn,105_08_6,-15.402364075465798
109_10,109,10,da~,54,90.48212910164877,dn,105_08_6,-15.605324292054718
