obj_id,subj,trial,syll,series,max_f0,min_f0,duration,condition
101_05,101,05,n@,25,232.60730938197742,189.3593210214856,110.00000000000004,nc
101_05,101,05,li,35,189.3593210214856,182.14870006986393,99.99999999999997,nc
101_05,101,05,Rje~,45,218.3214769154301,182.47888363776667,270,nc
101_05,101,05,a~,55,201.63697789720268,181.49888880783755,59.99999999999983,nc
101_05,101,05,ne,65,181.49888880783755,164.33032063974798,120.00000000000011,nc
101_05,101,05,te,75,166.05201835996561,165.79968633876808,179.99999999999994,nc
126_16,126,16,pER,5,126.8591583045577,123.92813351933152,120.00000000000003,dn
126_16,126,16,sOn,15,145.58078636436915,126.8591583045577,260,dn
126_16,126,16,n@,25,132.42464259941332,102.01772933582403,99.99999999999997,dn
126_16,126,16,vwa,35,102.01772933582403,97.07199661217847,140,dn
126_16,126,16,Rje~,45,132.53675892791946,97.38355242623629,229.99999999999997,dn
126_16,126,16,dy,55,130.2738160647358,127.94867615416564,99.99999999999997,dn
126_16,126,16,tu,65,128.17256524318847,128.17256524318847,199.99999999999986,dn
126_03,126,03,pER,5,125.14478829379166,122.29791458674137,95.96073695781949,nc
126_03,126,03,sOn,15,143.67729077407068,125.14478829379166,311.27209702586356,nc
126_03,126,03,n@,25,135.9759304293733,112.82200732861088,89.99999999999997,nc
126_03,126,03,di,35,112.82200732861088,104.29274129864773,160.00000000000003,nc
126_03,126,03,Rje~,45,135.09290395872222,105.01714710989626,250,nc
126_03,126,03,pa~,55,124.28218576675978,108.42124582518716,149.99999999999991,nc
126_03,126,03,da~,65,108.42124582518716,97.95336992246602,119.99999999999989,nc
126_03,126,03,le,75,103.09832993950505,97.50102542027344,130.0000000000001,nc
126_03,126,03,Re,85,121.91430093951647,103.09832993950505,159.99999999999991,nc
126_03,126,03,y,95,113.80372954705038,105.73056977195967,30.00000000000003,nc
126_03,126,03,njo~,105,105.73056977195967,84.03903037169161,199.99999999999994,nc
112_13,112,13,pER,5,498.2756854553708,225.37294256094702,139.5353993917532,dn
112_13,112,13,sOn,15,480.0922032730575,239.76159043549686,200,dn
112_13,112,13,n@,25,247.26921745318595,220.26303861995527,60,dn
112_13,112,13,li,35,220.26303861995527,195.78005263586357,190,dn
112_13,112,13,Rje~,45,267.62043804859536,186.18794055195605,209.99999999999997,dn
112_13,112,13,puR,55,245.9139316721038,198.66760940348405,169.99999999999994,dn
112_13,112,13,l9R,65,238.80247341650247,216.51065115346455,90.00000000000009,dn
112_13,112,13,klas,75,219.57052169345394,168.8773179423462,409.99999999999994,dn
123_22,123,22,le,5,101.64914315289741,83.86042690621309,139.99999999999997,negob
123_22,123,22,Za~,15,99.5698841855357,84.27550703754041,230.00000000000003,negob
123_22,123,22,n@,25,99.15537139056327,87.7124015025678,159.99999999999997,negob
123_22,123,22,ma~Z,35,87.99859155815743,77.55801694909468,310.00000000000006,negob
123_22,123,22,Rje~,45,99.42172639763254,77.83556946293344,199.99999999999994,negob
123_22,123,22,l@,55,146.56893458012382,77.74363499526469,79.99999999999984,negob
123_22,123,22,swaR,65,508.15090839675685,68.5719713479549,510,negob
125_08,125,08,pER,5,241.36502583762484,218.27240386169817,112.70126948622377,nc
125_08,125,08,sOn,15,279.96214162713534,223.1259356540374,270,nc
125_08,125,08,n@,25,223.1259356540374,188.96997736179634,80.00000000000001,nc
125_08,125,08,vwa,35,188.96997736179634,180.26351735066504,119.99999999999994,nc
125_08,125,08,Rje~,45,195.41546602491727,181.00026590184552,180.00000000000006,nc
125_08,125,08,da~,55,189.78977923473192,174.772347063393,99.99999999999997,nc
125_08,125,08,la,65,174.772347063393,169.60986698284012,70.00000000000006,nc
125_08,125,08,pjEs,75,169.60986698284012,89.04211196051557,359.9999999999999,nc
119_32,119,32,pER,5,453.95630297564344,227.87652414305234,108.23778989297936,negsub
119_32,119,32,sOn,15,459.7138194414114,265.0768274319326,169.91700527815019,negsub
119_32,119,32,n@,25,265.0768274319326,240.05548060708782,79.99999999999996,negsub
119_32,119,32,vwa,35,240.05548060708782,222.62928916574762,160.00000000000003,negsub
119_32,119,32,sa,45,222.62928916574762,212.57229627657958,69.99999999999996,negsub
119_32,119,32,i,55,416.0738325101077,185.3413049412928,240,negsub
119_32,119,32,si,65,544.4174358820917,81.7117672203874,160.00000000000003,negsub
100_27,100,27,pER,5,177.11906274534766,170.07024531399196,125.10375393027326,negsub
100_27,100,27,sOn,15,194.20726144475034,177.11906274534766,275.7666574341022,negsub
100_27,100,27,n@,25,185.76331093365147,150.04065280975985,130,negsub
100_27,100,27,di,35,150.04065280975985,141.20550013217087,189.99999999999994,negsub
100_27,100,27,mo,45,177.22102223592893,146.01370875993655,210.00000000000009,negsub
100_27,100,27,pa~,55,167.53070479838829,131.84088555301588,199.99999999999974,negsub
100_27,100,27,da~,65,147.3278653068803,107.37016990943519,160.00000000000014,negsub
100_27,100,27,y,75,201.93246066233462,172.3495119347946,79.99999999999984,negsub
100_27,100,27,n9R,85,177.24782773556007,102.85370447596995,420.00000000000017,negsub
127_02,127,02,pER,5,277.22969578868464,260.82510447129386,139.78682150085177,nc
127_02,127,02,sOn,15,278.4623683947919,241.3584022138841,298.55007994387097,nc
127_02,127,02,n@,25,241.3584022138841,188.32769679889887,100.00000000000003,nc
127_02,127,02,bwa,35,195.02420223786038,93.3568813034544,189.99999999999994,nc
127_02,127,02,Rje~,45,208.92107221881255,175.0069995901749,299.99999999999994,nc
127_02,127,02,da~,55,188.19375196926404,183.6856729702252,119.99999999999989,nc
127_02,127,02,le,65,183.6856729702252,165.60567143568662,90.00000000000009,nc
127_02,127,02,swa,75,165.60567143568662,81.09854853038131,199.99999999999994,nc
127_02,127,02,Re,85,81.09854853038131,79.45711194601753,129.9999999999999,nc
111_16,111,16,pER,5,267.64382644642876,250.44209390538938,129.99999999999997,dn
111_16,111,16,sOn,15,254.50957143572262,178.6950691373116,310.00000000000006,dn
111_16,111,16,n@,25,233.4553717853641,217.3103249305039,89.99999999999997,dn
111_16,111,16,vwa,35,217.3103249305039,182.30076235905435,120,dn
111_16,111,16,Rje~,45,191.78836787388386,170.39500361954737,150.00000000000003,dn
111_16,111,16,dy,55,170.39500361954737,169.50263533255747,89.99999999999997,dn
111_16,111,16,tu,65,169.63011651641318,169.63011651641318,189.99999999999983,dn
125_12,125,12,pER,5,237.00954093422826,223.09137283146165,128.23404580597256,dn
125_12,125,12,sOn,15,299.37698455063475,237.00954093422826,257.68936823866864,dn
125_12,125,12,n@,25,238.67116258954223,190.64138846573798,126.97234824769588,dn
125_12,125,12,fE,35,478.6586367900823,196.68293868219735,130,dn
125_12,125,12,Rje~,45,196.68293868219735,187.91176409808642,179.99999999999994,dn
