subject	item	response	rt	category	condition	truthVal	Check	PrsntOrd	check_mm
124	17	V	2.995	Critical3 NegOb	negob	V	T	31	0
124	18	V	2.809	Critical3 NegOb	negob	V	T	24	0
124	19	F	3.394	Critical3 NegOb	negob	F	T	2	0
124	20	F	1.74	Critical3 NegOb	negob	F	T	38	0
124	21	F	3.171	Critical3 NegOb	negob	F	T	8	0
124	22	V	1.523	Critical3 NegOb	negob	V	T	20	0
124	23	V	3.539	Critical3 NegOb	negob	V	T	14	0
124	24	F	3.141	Critical3 NegOb	negob	F	T	30	0
124	25	V	3.634	Critical4 NegSub	negsub	V	T	17	0
124	26	F	2.89	Critical4 NegSub	negsub	F	T	15	0
124	27	V	5.722	Critical4 NegSub	negsub	V	T	37	0
124	28	V	3.891	Critical4 NegSub	negsub	V	T	25	0
124	29	V	3.019	Critical4 NegSub	negsub	V	T	27	0
124	30	F	5.826	Critical4 NegSub	negsub	F	T	5	0
124	31	F	2.977	Critical4 NegSub	negsub	F	T	34	0
124	32	F	5.138	Critical4 NegSub	negsub	F	T	6	0
124	33	F	1.515	Control	filler	F	T	22	0
124	34	V	1.85	Control	filler	V	T	36	0
124	35	F	2.875	Control	filler	F	T	9	0
124	36	F	3.675	Control	filler	F	T	4	0
124	37	V	1.891	Control	filler	V	T	29	0
124	38	F	2.362	Control	filler	F	T	35	0
124	39	V	3.524	Control	filler	V	T	18	0
124	40	V	4.723	Control	filler	V	T	12	0
125	3	V	5.467	Critical1 NC	nc	V	T	4	nc
125	10	F	7.426	Critical2 DN	dn	F	T	5	dn
125	6	F	3.769	Critical1 NC	nc	V	F	6	nc_mm
125	15	F	4.251	Critical2 DN	dn	F	T	10	dn
125	11	V	4.306	Critical2 DN	dn	V	T	14	dn
125	2	V	7.14	Critical1 NC	nc	V	T	15	nc
125	13	V	6.075	Critical2 DN	dn	V	T	17	dn
125	8	F	3.371	Critical1 NC	nc	F	T	18	nc
125	1	F	5.763	Critical1 NC	nc	F	T	22	nc
125	16	V	6.624	Critical2 DN	dn	V	T	25	dn
125	7	V	3.873	Critical1 NC	nc	F	F	26	nc_mm
125	12	F	5.203	Critical2 DN	dn	F	T	29	dn
125	4	V	2.498	Critical1 NC	nc	V	T	31	nc
125	14	F	4.059	Critical2 DN	dn	F	T	35	dn
125	5	F	4.809	Critical1 NC	nc	F	T	36	nc
125	9	V	3.786	Critical2 DN	dn	V	T	38	dn
125	17	F	4.881	Critical3 NegOb	negob	V	F	3	0
125	18	V	2.825	Critical3 NegOb	negob	V	T	12	0
125	19	V	4.948	Critical3 NegOb	negob	F	F	39	0
125	20	F	3.154	Critical3 NegOb	negob	F	T	34	0
125	21	F	3.891	Critical3 NegOb	negob	F	T	21	0
125	22	V	2.859	Critical3 NegOb	negob	V	T	28	0
125	23	V	4.889	Critical3 NegOb	negob	V	T	19	0
125	24	F	4.147	Critical3 NegOb	negob	F	T	9	0
