"series","pvalue","test_type"
"300",59,0.987575035995056,Double Negative X Negative Subject Control
"301",0,3.37671453770467e-09,Negative Object Control X Negative Subject Control
"302",1,8.68292945433538e-10,Negative Object Control X Negative Subject Control
"303",2,6.43953703487555e-10,Negative Object Control X Negative Subject Control
"304",3,3.09566389464147e-09,Negative Object Control X Negative Subject Control
"305",4,5.23690785291707e-08,Negative Object Control X Negative Subject Control
"306",5,4.57828569577876e-07,Negative Object Control X Negative Subject Control
"307",6,6.1297569910107e-07,Negative Object Control X Negative Subject Control
"308",7,4.75930624840231e-07,Negative Object Control X Negative Subject Control
"309",8,4.11538116654056e-07,Negative Object Control X Negative Subject Control
"310",9,2.08050914701977e-07,Negative Object Control X Negative Subject Control
"311",10,2.61105901897172e-08,Negative Object Control X Negative Subject Control
"312",11,1.53864003690724e-09,Negative Object Control X Negative Subject Control
"313",12,1.31452567553763e-09,Negative Object Control X Negative Subject Control
"314",13,2.11613572027227e-09,Negative Object Control X Negative Subject Control
"315",14,3.3023613176694e-09,Negative Object Control X Negative Subject Control
"316",15,1.80079151235914e-06,Negative Object Control X Negative Subject Control
"317",16,0.0227196272153914,Negative Object Control X Negative Subject Control
"318",17,0.854381627670786,Negative Object Control X Negative Subject Control
"319",18,0.0462386234759062,Negative Object Control X Negative Subject Control
"320",19,0.000151633041530844,Negative Object Control X Negative Subject Control
"321",20,3.45957966264581e-08,Negative Object Control X Negative Subject Control
"322",21,6.70514006077815e-09,Negative Object Control X Negative Subject Control
"323",22,4.27516885275386e-09,Negative Object Control X Negative Subject Control
"324",23,4.41362770848003e-09,Negative Object Control X Negative Subject Control
"325",24,6.64112620017442e-09,Negative Object Control X Negative Subject Control
"326",25,2.02466801696481e-08,Negative Object Control X Negative Subject Control
"327",26,2.65024339026862e-07,Negative Object Control X Negative Subject Control
"328",27,8.50885568433135e-06,Negative Object Control X Negative Subject Control
"329",28,0.000238065151035607,Negative Object Control X Negative Subject Control
"330",29,0.003239325632926,Negative Object Control X Negative Subject Control
"331",30,0.0151022573655095,Negative Object Control X Negative Subject Control
"332",31,0.0937285782964915,Negative Object Control X Negative Subject Control
"333",32,0.371964374189139,Negative Object Control X Negative Subject Control
"334",33,0.759844925306075,Negative Object Control X Negative Subject Control
"335",34,0.832945456433341,Negative Object Control X Negative Subject Control
"336",35,0.515513604013596,Negative Object Control X Negative Subject Control
"337",36,0.28282316958513,Negative Object Control X Negative Subject Control
"338",37,0.199846464800494,Negative Object Control X Negative Subject Control
"339",38,0.262845841830673,Negative Object Control X Negative Subject Control
"340",39,0.356451188486834,Negative Object Control X Negative Subject Control
"341",40,0.346618107743464,Negative Object Control X Negative Subject Control
"342",41,0.423587490494683,Negative Object Control X Negative Subject Control
"343",42,0.362373325092319,Negative Object Control X Negative Subject Control
"344",43,0.0819363300605343,Negative Object Control X Negative Subject Control
"345",44,0.0155410845054315,Negative Object Control X Negative Subject Control
"346",45,0.035240825721769,Negative Object Control X Negative Subject Control
"347",46,0.353324009259457,Negative Object Control X Negative Subject Control
"348",47,0.450726199992028,Negative Object Control X Negative Subject Control
"349",48,0.0154547288472106,Negative Object Control X Negative Subject Control
"350",49,0.000344129560567069,Negative Object Control X Negative Subject Control
"351",50,0.000245849897628975,Negative Object Control X Negative Subject Control
"352",51,0.000161076327592167,Negative Object Control X Negative Subject Control
"353",52,0.000236899543396179,Negative Object Control X Negative Subject Control
"354",53,0.00050748096834755,Negative Object Control X Negative Subject Control
"355",54,0.000789736070092786,Negative Object Control X Negative Subject Control
"356",55,0.00192604022870286,Negative Object Control X Negative Subject Control
"357",56,0.00557797022426282,Negative Object Control X Negative Subject Control
"358",57,0.0135407296784936,Negative Object Control X Negative Subject Control
"359",58,0.0322264652610083,Negative Object Control X Negative Subject Control
"360",59,0.0669823176343212,Negative Object Control X Negative Subject Control
