subj,trial,syll,series,raw_f0
112,23,n@,27,211.20330716901682
112,23,n@,28,212.22160845622628
112,23,n@,29,211.9603998087896
112,23,mE,30,210.98964259769852
112,23,mE,31,209.51395636483926
112,23,mE,32,207.6839687483724
112,23,mE,33,205.7928810355928
112,23,mE,34,204.29871110913948
112,23,mE,35,203.29026809672752
112,23,mE,36,202.63978756401082
112,23,mE,37,202.1736571790428
112,23,mE,38,201.83600570114646
112,23,mE,39,201.48176780359125
112,23,Rje~,40,200.9719638699724
112,23,Rje~,41,201.67828753458724
112,23,Rje~,42,206.7803378572173
112,23,Rje~,43,213.92567843047186
112,23,Rje~,44,222.03233049200517
112,23,Rje~,45,233.91864730192114
112,23,Rje~,46,248.59931304808202
112,23,Rje~,47,263.6673497868961
112,23,Rje~,48,273.95738997149874
112,23,Rje~,49,269.8711990585804
112,23,d@,50,254.77719194700012
112,23,d@,51,249.01719671911823
112,23,d@,52,244.24536581771198
112,23,d@,53,240.64221508299383
112,23,d@,54,238.03786632890422
112,23,d@,55,236.1174704587355
112,23,d@,56,234.14551516386823
112,23,d@,57,231.31631685093544
112,23,d@,58,227.3356579376562
112,23,d@,59,222.52166847566244
112,23,ko,60,217.58166519988978
112,23,ko,61,214.1228405293406
112,23,ko,62,215.75503734094025
112,23,ko,63,221.36698567817018
112,23,ko,64,228.8997022956321
112,23,ko,65,235.06375639642732
112,23,ko,66,236.5558237741561
112,23,ko,67,232.12654551479903
112,23,ko,68,223.56595329594862
112,23,ko,69,218.54473285442162
112,23,te,70,219.05031402164383
112,23,te,71,226.649546895096
112,23,te,72,235.95986680221213
112,23,te,73,244.93417132155375
112,23,te,74,250.3409184499095
112,23,te,75,250.9009850878343
112,23,te,76,246.54384794530318
112,23,te,77,240.42528247946237
112,23,te,78,232.2054819205657
112,23,te,79,222.10894888638717
112,23,puR,80,210.55098879387612
112,23,puR,81,210.84046728403396
112,23,puR,82,213.404418781983
112,23,puR,83,216.22650234864219
112,23,puR,84,219.04858591530143
112,23,puR,85,220.79471595438727
112,23,puR,86,220.0557332346638
112,23,puR,87,215.2990081834036
112,23,puR,88,209.21704651373202
112,23,puR,89,204.4790567829067
112,23,lav,90,202.06998819562727
112,23,lav,91,201.40129601154425
112,23,lav,92,201.37681423556955
112,23,lav,93,200.98859198134528
112,23,lav,94,198.57977817043277
112,23,lav,95,193.99626173916664
112,23,lav,96,189.2121933613748
112,23,lav,97,185.88693885434287
112,23,lav,98,183.72046006561354
112,23,lav,99,181.75133928046068
112,23,niR,100,178.88899056586638
112,23,niR,101,176.27399450289852
112,23,niR,102,173.0302801035122
112,23,niR,103,170.69766764271688
112,23,niR,104,170.84065366471344
112,23,niR,105,173.70660284359244
112,23,niR,106,182.65633295575057
112,23,niR,107,200.94191481254646
112,23,niR,108,231.7810215736872
112,23,niR,109,270.1757772687157
107,24,ly,0,98.19346349079066
107,24,ly,1,98.19344556408963
107,24,ly,2,98.17621946874954
107,24,ly,3,98.06724227593664
107,24,ly,4,97.80074856267916
107,24,ly,5,97.34213649263528
107,24,ly,6,97.24074283148492
107,24,ly,7,98.69211193702691
107,24,ly,8,102.7916936651083
107,24,ly,9,110.1873842204626
107,24,si,10,120.27488833570033
107,24,si,11,136.1291909252988
107,24,si,12,152.39253355114516
107,24,si,13,168.65587617699154
107,24,si,14,184.91921880283792
107,24,si,15,201.1825614286843
107,24,si,16,216.54233581318087
107,24,si,17,229.01035833111234
107,24,si,18,236.06808711847813
107,24,si,19,237.7944702317976
107,24,n@,20,234.86828776455894
107,24,n@,21,232.89018807529493
107,24,n@,22,230.51166074640892
107,24,n@,23,227.45659893518803
107,24,n@,24,223.3137241341771
107,24,n@,25,217.8283786295111
107,24,n@,26,211.13583244301768
107,24,n@,27,203.30438325732544
107,24,n@,28,194.30001381405253
107,24,n@,29,184.49872565863535
107,24,vwa,30,174.5384190625777
107,24,vwa,31,164.1427287254966
107,24,vwa,32,157.96062863577225
107,24,vwa,33,156.61408062873124
107,24,vwa,34,158.44163235054296
107,24,vwa,35,161.01607677179555
107,24,vwa,36,162.4537601856615
107,24,vwa,37,162.59225175189653
107,24,vwa,38,161.3710336721324
107,24,vwa,39,159.33117865574891
107,24,Rje~,40,155.61552007293503
107,24,Rje~,41,155.77222360907587
107,24,Rje~,42,161.16716541448696
107,24,Rje~,43,170.07861598192113
107,24,Rje~,44,179.81449567468184
107,24,Rje~,45,189.1473546932946
107,24,Rje~,46,196.663618144992
107,24,Rje~,47,201.30365717429174
